Sample in Buffer,Sample in Window,TRIGGER,Brik1_u/PilotImag[17:0],Brik1_u/PilotReal[17:0]
25708,25708,0,123039,30555
25709,25709,0,123039,30555
25710,25710,0,123039,30555
25711,25711,0,123039,30555
25712,25712,0,119143,8993
25713,25713,0,119143,8993
25714,25714,0,119143,8993
25715,25715,0,119143,8993
25716,25716,0,120076,-28267
25717,25717,0,120076,-28267
25718,25718,0,120076,-28267
25719,25719,0,120076,-28267
25720,25720,0,104128,-58308
25721,25721,0,104128,-58308
25722,25722,0,104128,-58308
25723,25723,0,104128,-58308
25724,25724,0,74797,-95478
25725,25725,0,74797,-95478
25726,25726,0,74797,-95478
25727,25727,0,74797,-95478
25728,25728,0,74797,-95478
25729,25729,0,74797,-95478
25730,25730,0,74797,-95478
25731,25731,0,74797,-95478
25732,25732,0,-21525,-131072
25733,25733,0,-21525,-131072
25734,25734,0,-21525,-131072
25735,25735,0,-21525,-131072
25736,25736,0,-75227,-126537
25737,25737,0,-75227,-126537
25738,25738,0,-75227,-126537
25739,25739,0,-75227,-126537
25740,25740,0,-112507,-77250
25741,25741,0,-112507,-77250
25742,25742,0,-112507,-77250
25743,25743,0,-112507,-77250
25744,25744,0,-130063,-36486
25745,25745,0,-130063,-36486
25746,25746,0,-130063,-36486
25747,25747,0,-130063,-36486
25748,25748,0,-122404,9595
25749,25749,0,-122404,9595
25750,25750,0,-122404,9595
25751,25751,0,-122404,9595
25752,25752,0,-123267,54707
25753,25753,0,-123267,54707
25754,25754,0,-123267,54707
25755,25755,0,-123267,54707
25756,25756,0,-99880,71799
25757,25757,0,-99880,71799
25758,25758,0,-99880,71799
25759,25759,0,-99880,71799
25760,25760,0,-68834,93996
25761,25761,0,-68834,93996
25762,25762,0,-68834,93996
25763,25763,0,-68834,93996
25764,25764,0,-55944,115909
25765,25765,0,-55944,115909
25766,25766,0,-55944,115909
25767,25767,0,-55944,115909
25768,25768,0,-55944,115909
25769,25769,0,-55944,115909
25770,25770,0,-55944,115909
25771,25771,0,-55944,115909
25772,25772,0,-38929,120452
25773,25773,0,-38929,120452
25774,25774,0,-38929,120452
25775,25775,0,-38929,120452
25776,25776,0,-49621,114700
25777,25777,0,-49621,114700
